Facility Name,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
SOUTHEAST HEALTH MEDICAL CENTER,AL,READM-30-PN-HRRP,490.0,0.9715,16.1137,16.5863,77,07/01/2020,06/30/2023
SOUTHEAST HEALTH MEDICAL CENTER,AL,READM-30-COPD-HRRP,130.0,0.933,15.4544,16.5637,16,07/01/2020,06/30/2023
MARSHALL MEDICAL CENTERS,AL,READM-30-PN-HRRP,305.0,0.8495,13.3621,15.7296,30,07/01/2020,06/30/2023
MARSHALL MEDICAL CENTERS,AL,READM-30-COPD-HRRP,144.0,0.8696,15.5737,17.909,14,07/01/2020,06/30/2023
NORTH ALABAMA MEDICAL CENTER,AL,READM-30-COPD-HRRP,154.0,0.9463,17.788,18.7982,24,07/01/2020,06/30/2023
NORTH ALABAMA MEDICAL CENTER,AL,READM-30-PN-HRRP,621.0,1.0112,16.7862,16.6008,105,07/01/2020,06/30/2023
MIZELL MEMORIAL HOSPITAL,AL,READM-30-COPD-HRRP,,1.0277,17.8169,17.3362,Too Few to Report,07/01/2020,06/30/2023
MIZELL MEMORIAL HOSPITAL,AL,READM-30-PN-HRRP,85.0,1.0488,16.2187,15.4636,17,07/01/2020,06/30/2023
CRENSHAW COMMUNITY HOSPITAL,AL,READM-30-COPD-HRRP,,,,,,07/01/2020,06/30/2023
CRENSHAW COMMUNITY HOSPITAL,AL,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
ST. VINCENT'S EAST,AL,READM-30-COPD-HRRP,58.0,1.012,17.7252,17.5152,11,07/01/2020,06/30/2023
ST. VINCENT'S EAST,AL,READM-30-PN-HRRP,344.0,1.0589,17.1812,16.2255,63,07/01/2020,06/30/2023
DEKALB REGIONAL MEDICAL CENTER,AL,READM-30-PN-HRRP,160.0,0.9685,13.8098,14.2595,20,07/01/2020,06/30/2023
DEKALB REGIONAL MEDICAL CENTER,AL,READM-30-COPD-HRRP,,1.0044,13.3991,13.3406,Too Few to Report,07/01/2020,06/30/2023
SHELBY BAPTIST MEDICAL CENTER,AL,READM-30-PN-HRRP,214.0,1.0434,17.3446,16.6237,40,07/01/2020,06/30/2023
SHELBY BAPTIST MEDICAL CENTER,AL,READM-30-COPD-HRRP,,0.9794,19.4001,19.808,Too Few to Report,07/01/2020,06/30/2023
CALLAHAN EYE HOSPITAL,AL,READM-30-PN-HRRP,,,,,,07/01/2020,06/30/2023
