Facility Name,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date,Excess Readmission Ratio_standardized,Predicted Readmission Rate_standardized,Expected Readmission Rate_standardized
SOUTHEAST HEALTH MEDICAL CENTER,AL,Pneumonia,490.0,0.97,16.11,16.59,77,07/01/2020,06/30/2023,-0.6148530484551824,-0.5448559166645236,-0.31531838146069413
SOUTHEAST HEALTH MEDICAL CENTER,AL,COPD,130.0,0.93,15.45,16.56,16,07/01/2020,06/30/2023,-1.242486704431543,-0.8353180297774522,-0.3313862061370296
MARSHALL MEDICAL CENTERS,AL,Pneumonia,305.0,0.85,13.36,15.73,30,07/01/2020,06/30/2023,-2.4977540163842678,-1.7551147213017257,-0.7759293555156284
MARSHALL MEDICAL CENTERS,AL,COPD,144.0,0.87,15.57,17.91,14,07/01/2020,06/30/2023,-2.1839371883960865,-0.782506736484192,0.3916659042980428
NORTH ALABAMA MEDICAL CENTER,AL,COPD,154.0,0.95,17.79,18.8,24,07/01/2020,06/30/2023,-0.9286698764433635,0.19450218944111247,0.8683447030293127
NORTH ALABAMA MEDICAL CENTER,AL,Pneumonia,621.0,1.01,16.79,16.6,105,07/01/2020,06/30/2023,0.012780607521180043,-0.24559192133605193,-0.30996243990191497
MIZELL MEMORIAL HOSPITAL,AL,Pneumonia,85.0,1.05,16.22,15.46,17,07/01/2020,06/30/2023,0.6404142634975425,-0.49644556447903576,-0.9205397776026425
ST. VINCENT'S EAST,AL,COPD,58.0,1.01,17.73,17.52,11,07/01/2020,06/30/2023,0.012780607521180043,0.1680965427944832,0.18278418350568848
ST. VINCENT'S EAST,AL,Pneumonia,344.0,1.06,17.18,16.23,63,07/01/2020,06/30/2023,0.797322677491633,-0.07395521813295756,-0.508132277576713
DEKALB REGIONAL MEDICAL CENTER,AL,Pneumonia,160.0,0.97,13.81,14.26,20,07/01/2020,06/30/2023,-0.6148530484551824,-1.5570723714520014,-1.5632527646560401
SHELBY BAPTIST MEDICAL CENTER,AL,Pneumonia,214.0,1.04,17.34,16.62,40,07/01/2020,06/30/2023,0.4835058495034518,-0.0035401604086111914,-0.2992505567843586
HELEN KELLER HOSPITAL,AL,COPD,162.0,1.02,17.21,16.89,29,07/01/2020,06/30/2023,0.16968902151527065,-0.060752394809642125,-0.15464013469734447
HELEN KELLER HOSPITAL,AL,Pneumonia,236.0,1.04,15.31,14.67,39,07/01/2020,06/30/2023,0.4835058495034518,-0.8969312052862547,-1.3436591607461295
DALE MEDICAL CENTER,AL,Pneumonia,65.0,1.06,15.73,14.87,14,07/01/2020,06/30/2023,0.797322677491633,-0.7120916787598457,-1.2365403295705637
BAPTIST MEDICAL CENTER SOUTH,AL,Pneumonia,146.0,1.0,17.02,16.98,25,07/01/2020,06/30/2023,-0.14412780647291057,-0.14437027585730394,-0.10643666066833976
BAPTIST MEDICAL CENTER SOUTH,AL,COPD,70.0,0.98,18.72,19.05,12,07/01/2020,06/30/2023,-0.45794463446109174,0.6037897124638752,1.0022432419987704
JACKSON HOSPITAL & CLINIC INC,AL,Pneumonia,233.0,1.04,17.23,16.54,43,07/01/2020,06/30/2023,0.4835058495034518,-0.051950512594099024,-0.342098089254586
JACKSON HOSPITAL & CLINIC INC,AL,COPD,79.0,0.97,17.62,18.18,12,07/01/2020,06/30/2023,-0.6148530484551824,0.11968619060899535,0.536276326385057
UNIVERSITY OF ALABAMA HOSPITAL,AL,Pneumonia,365.0,1.11,18.08,16.33,73,07/01/2020,06/30/2023,1.581864747462086,0.3221294815664898,-0.454572861988931
UNIVERSITY OF ALABAMA HOSPITAL,AL,COPD,154.0,0.99,19.42,19.7,29,07/01/2020,06/30/2023,-0.3010362204670012,0.9118555900078916,1.3503794433193597
CULLMAN REGIONAL MEDICAL CENTER,AL,Pneumonia,417.0,1.05,15.58,14.89,68,07/01/2020,06/30/2023,0.6404142634975425,-0.7781057953764204,-1.2258284464530063
CULLMAN REGIONAL MEDICAL CENTER,AL,COPD,120.0,1.05,18.56,17.74,25,07/01/2020,06/30/2023,0.6404142634975425,0.5333746547395289,0.3006148977988107
ANDALUSIA HEALTH,AL,Pneumonia,144.0,1.01,16.03,15.81,24,07/01/2020,06/30/2023,0.012780607521180043,-0.580063445526696,-0.7330818230454018
HUNTSVILLE HOSPITAL,AL,COPD,426.0,1.0,17.37,17.36,74,07/01/2020,06/30/2023,-0.14412780647291057,0.009662662914704242,0.09708911856523546
HUNTSVILLE HOSPITAL,AL,Pneumonia,1340.0,0.97,15.06,15.48,200,07/01/2020,06/30/2023,-0.6148530484551824,-1.0069547329805457,-0.909827894485086
GADSDEN REGIONAL MEDICAL CENTER,AL,Pneumonia,235.0,0.97,16.59,17.08,37,07/01/2020,06/30/2023,-0.6148530484551824,-0.3336107434914845,-0.05287724508055781
GADSDEN REGIONAL MEDICAL CENTER,AL,COPD,97.0,0.99,18.26,18.47,17,07/01/2020,06/30/2023,-0.3010362204670012,0.40134642150638083,0.6915986315896274
RIVERVIEW REGIONAL MEDICAL CENTER,AL,COPD,103.0,1.05,19.51,18.62,23,07/01/2020,06/30/2023,0.6404142634975425,0.9514640599778363,0.7719377549713032
RIVERVIEW REGIONAL MEDICAL CENTER,AL,Pneumonia,277.0,1.09,18.77,17.21,58,07/01/2020,06/30/2023,1.268047919473905,0.6257944180027338,0.01674999518356158
MEDICAL CENTER ENTERPRISE,AL,Pneumonia,152.0,1.05,15.13,14.46,26,07/01/2020,06/30/2023,0.6404142634975425,-0.9761481452261441,-1.4561339334804735
MEDICAL CENTER ENTERPRISE,AL,COPD,59.0,1.04,17.63,16.89,13,07/01/2020,06/30/2023,0.4835058495034518,0.12408713171676611,-0.15464013469734447
FLOWERS HOSPITAL,AL,Pneumonia,305.0,1.0,15.4,15.4,47,07/01/2020,06/30/2023,-0.14412780647291057,-0.85732273531631,-0.9526754269553126
FLOWERS HOSPITAL,AL,COPD,126.0,0.95,18.5,19.5,20,07/01/2020,06/30/2023,-0.9286698764433635,0.5069690080928996,1.243260612143794
ST VINCENT'S BIRMINGHAM,AL,Pneumonia,405.0,1.04,16.19,15.61,68,07/01/2020,06/30/2023,0.4835058495034518,-0.5096483878023497,-0.8402006542209686
ST VINCENT'S BIRMINGHAM,AL,COPD,82.0,0.98,16.34,16.72,12,07/01/2020,06/30/2023,-0.45794463446109174,-0.4436342711857756,-0.24569114119657662
HIGHLANDS MEDICAL CENTER,AL,Pneumonia,115.0,0.97,15.05,15.59,15,07/01/2020,06/30/2023,-0.6148530484551824,-1.0113556740883174,-0.850912537338525
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,Pneumonia,270.0,0.96,16.1,16.69,41,07/01/2020,06/30/2023,-0.7717614624492729,-0.5492568577722944,-0.26175896587291025
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,COPD,190.0,0.85,16.73,19.61,22,07/01/2020,06/30/2023,-2.4977540163842678,-0.2719975679826812,1.302175969290355
ATHENS LIMESTONE HOSPITAL,AL,COPD,105.0,1.01,18.28,18.03,20,07/01/2020,06/30/2023,0.012780607521180043,0.4101483037219239,0.4559372030033831
ATHENS LIMESTONE HOSPITAL,AL,Pneumonia,179.0,1.05,15.09,14.42,30,07/01/2020,06/30/2023,0.6404142634975425,-0.9937519096572311,-1.477557699715587
SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,Pneumonia,262.0,0.98,15.3,15.54,39,07/01/2020,06/30/2023,-0.45794463446109174,-0.9013321463940263,-0.877692245132417
SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,COPD,116.0,0.95,16.49,17.36,16,07/01/2020,06/30/2023,-0.9286698764433635,-0.37762015456920156,0.09708911856523546
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,Pneumonia,440.0,0.97,14.97,15.39,64,07/01/2020,06/30/2023,-0.6148530484551824,-1.0465632029504905,-0.9580313685140908
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,COPD,139.0,1.04,17.0,16.34,26,07/01/2020,06/30/2023,0.4835058495034518,-0.15317215807284704,-0.4492169204301518
WALKER BAPTIST MEDICAL CENTER,AL,COPD,87.0,1.01,17.86,17.73,16,07/01/2020,06/30/2023,0.012780607521180043,0.22530877719551412,0.2952589562400334
WALKER BAPTIST MEDICAL CENTER,AL,Pneumonia,155.0,0.91,14.13,15.44,16,07/01/2020,06/30/2023,-1.5563035324197243,-1.4162422560033086,-0.9312516607201998
"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,COPD,96.0,0.95,15.52,16.3,12,07/01/2020,06/30/2023,-0.9286698764433635,-0.8045114420230506,-0.4706406866652646
"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",AL,Pneumonia,285.0,1.1,17.36,15.77,56,07/01/2020,06/30/2023,1.4249563334679953,0.005261721806931909,-0.7545055892805156
DCH REGIONAL MEDICAL CENTER,AL,COPD,312.0,1.14,20.84,18.34,73,07/01/2020,06/30/2023,2.0525899894443542,1.5367892273114643,0.6219713913255099
DCH REGIONAL MEDICAL CENTER,AL,Pneumonia,604.0,1.14,18.07,15.87,118,07/01/2020,06/30/2023,2.0525899894443542,0.317728540458719,-0.7009461736927327
THOMAS HOSPITAL,AL,Pneumonia,342.0,1.06,15.74,14.79,58,07/01/2020,06/30/2023,0.797322677491633,-0.7076907376520741,-1.2793878620407901
THOMAS HOSPITAL,AL,COPD,79.0,1.06,19.24,18.1,19,07/01/2020,06/30/2023,0.797322677491633,0.8326386500680005,0.4934287939148314
CITIZENS BAPTIST MEDICAL CENTER,AL,Pneumonia,56.0,1.12,16.43,14.62,17,07/01/2020,06/30/2023,1.7387731614561766,-0.40402580121583087,-1.3704388685400213
PRINCETON BAPTIST MEDICAL CENTER,AL,Pneumonia,103.0,0.98,17.12,17.53,16,07/01/2020,06/30/2023,-0.45794463446109174,-0.10036086477958686,0.18814012506446762
GRANDVIEW MEDICAL CENTER,AL,COPD,154.0,1.0,18.67,18.6,29,07/01/2020,06/30/2023,-0.14412780647291057,0.5817850069250183,0.7612258718537468
